design,model,phage,spearman,r2,mae,equal_cc_mae
complete_cc_fivefold,balanced_ridge,p0006,0.25746984025394704,-0.009601516452344194,0.16137564702146354,0.22508423366936253
complete_cc_fivefold,balanced_ridge,p0017,0.045183421862681726,-0.28296649459558054,0.2721341325422953,0.28898714540464443
complete_cc_fivefold,balanced_ridge,p0017S,0.3151529689075715,-0.003655014650908228,0.08734007166458514,0.11804349185932952
complete_cc_fivefold,balanced_ridge,p002y,0.22353669299646442,-0.17945349252942555,0.08835112400055914,0.12194642351046477
complete_cc_fivefold,balanced_ridge,p003p,0.23283192435788258,-0.13410564840187278,0.08957804421480876,0.13480241032140136
complete_cc_fivefold,balanced_ridge,p0040,-0.027462487096425656,-0.4164741028759933,0.24510536689626836,0.24730856536560747
complete_cc_fivefold,balanced_ridge,p11,0.14818316232290163,-0.40796502589680617,0.23222374341863966,0.21650330719867208
complete_cc_fivefold,balanced_ridge,pyo,0.38268970488690357,-0.03770636509860359,0.0915333309481464,0.15044662383143398
complete_cc_fivefold,isolate_mean,p0006,-0.2396527893903433,-0.04915817647574161,0.16663313491878035,0.2518627874793811
complete_cc_fivefold,isolate_mean,p0017,-0.3945384778696869,-0.10337249513618074,0.26078968892101095,0.25385958659218993
complete_cc_fivefold,isolate_mean,p0017S,-0.11908610745200213,-0.031054487639831097,0.0944051651120904,0.11879989252858629
complete_cc_fivefold,isolate_mean,p002y,-0.2668781176548302,-0.08690823593204788,0.09129312766982262,0.12543307016829897
complete_cc_fivefold,isolate_mean,p003p,-0.22990851786046873,-0.0827399269862148,0.09695347054794094,0.13936346711669845
complete_cc_fivefold,isolate_mean,p0040,-0.2799311434318627,-0.11492530946854274,0.21952532810842684,0.18177017330143322
complete_cc_fivefold,isolate_mean,p11,-0.27316078570071456,-0.05921376068671047,0.21598925764049862,0.16069761890436557
complete_cc_fivefold,isolate_mean,pyo,-0.38532235794222974,-0.13843954040322082,0.10568469772794607,0.14667389082280793
complete_cc_fivefold,lineage_mean,p0006,-0.26673052270511444,-0.4581112223671926,0.2200387983353217,0.24384979458275677
complete_cc_fivefold,lineage_mean,p0017,-0.2382394603136201,-0.15586028676468566,0.2607890721048368,0.2616438006011156
complete_cc_fivefold,lineage_mean,p0017S,-0.050619028136456336,-0.20934710876474139,0.11215306430014708,0.12374818808116167
complete_cc_fivefold,lineage_mean,p002y,-0.2591084596783896,-0.5090073292453567,0.11906346468645367,0.11927676717103751
complete_cc_fivefold,lineage_mean,p003p,-0.22176144762972563,-0.5877139767702617,0.1284318686158185,0.1347424169996045
complete_cc_fivefold,lineage_mean,p0040,-0.3214608313136868,-0.12248651981054559,0.21815088910095348,0.1706068423830123
complete_cc_fivefold,lineage_mean,p11,-0.25614944502181664,-0.053795921199207175,0.2053375559442711,0.1485721094146433
