n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
21,10,11,8,2,9,2,0.8,0.18181818181818182,0.49090909090909096,-0.023124864503144014,0.47619047619047616,0.47058823529411764,0.5,49
39,7,32,6,4,28,1,0.8571428571428571,0.125,0.49107142857142855,-0.020498001542269693,0.2564102564102564,0.17647058823529413,0.8,50
33,10,23,9,0,23,1,0.9,0.0,0.45,-0.2680951323690902,0.2727272727272727,0.28125,0.0,51
36,7,29,7,4,25,0,1.0,0.13793103448275862,0.5689655172413793,0.17370208344491278,0.3055555555555556,0.21875,1.0,52
31,9,22,8,2,20,1,0.8888888888888888,0.09090909090909091,0.4898989898989899,-0.031016140346615692,0.3225806451612903,0.2857142857142857,0.6666666666666666,53
36,11,25,9,4,21,2,0.8181818181818182,0.16,0.48909090909090913,-0.026967994498529685,0.3611111111111111,0.3,0.6666666666666666,54
35,7,28,7,0,28,0,1.0,0.0,0.5,,0.2,0.2,,55
17,7,10,7,0,10,0,1.0,0.0,0.5,,0.4117647058823529,0.4117647058823529,,56
36,5,31,5,4,27,0,1.0,0.12903225806451613,0.564516129032258,0.1419904585617662,0.25,0.15625,1.0,57
26,10,16,6,0,16,4,0.6,0.0,0.3,-0.5393598899705937,0.23076923076923078,0.2727272727272727,0.0,58
49,12,37,12,4,33,0,1.0,0.10810810810810811,0.5540540540540541,0.16979054399120355,0.32653061224489793,0.26666666666666666,1.0,59
30,7,23,7,4,19,0,1.0,0.17391304347826086,0.5869565217391304,0.2163856337073152,0.36666666666666664,0.2692307692307692,1.0,60
47,10,37,9,6,31,1,0.9,0.16216216216216217,0.5310810810810811,0.071457523090138,0.3191489361702128,0.225,0.8571428571428571,61
41,8,33,6,4,29,2,0.75,0.12121212121212122,0.4356060606060606,-0.14440003757399392,0.24390243902439024,0.17142857142857143,0.6666666666666666,62
