phage,n,lineages,between_ss,within_ss,between_variance_component,within_variance_component,eta_squared,omega_squared,icc_random_intercept,eta_ci_low,eta_ci_high
p11,253,17,1.8593886999634195,12.830780247279662,0.004988141372880999,0.05436771291220196,0.12657367703809647,0.06710996189131976,0.08403790043899,0.032531822921523165,0.27562778527384096
p0006,253,17,2.8528573813686355,8.581438191916593,0.011448542186960092,0.036362026236934714,0.24950005560762065,0.19798908143437968,0.2394563077655929,0.09779916528338621,0.4484754683307461
p0017,253,17,4.299723264283277,14.822777739158479,0.016609182725132517,0.06280838025067152,0.22485151202289874,0.1717350038187611,0.20913740113371138,0.056438436028100405,0.4470474325826491
p0017S,253,17,0.6053946147200852,3.199431825291691,0.0019583654971650727,0.013556914513947844,0.15911228127352148,0.10174043474091476,0.12622173082035135,0.06689405173271586,0.45792455632284895
p002y,253,17,1.008767690645446,2.676125015772538,0.004170635968859719,0.011339512778697195,0.27375768333457134,0.22383211798475677,0.26889722572884145,0.12000637887972691,0.5522781008909526
p003p,253,17,1.2151883507190024,2.7348316597969915,0.005191148019537385,0.011588269744902506,0.3076410619399018,0.2599388838950895,0.3093759326106551,0.12962695192741086,0.6240344677901095
p0040,253,17,2.9762422378046955,10.67706110627633,0.011354318624399054,0.045241784348628515,0.21798697083039284,0.16442429959602886,0.20062014923201102,0.04363784920890408,0.3988151804488691
pyo,253,17,1.502843143872461,3.175052368326955,0.006490776582368041,0.013453611730198963,0.32126479523820445,0.27445950454242835,0.3254437529316549,0.1711511592224742,0.478742210791789
