omitted_cc,same_cc_auc,median_similarity_contrast
1,0.9949825733588035,0.4460741357907353
10,0.9943066586268374,0.40819782864375265
121,0.9968858561979128,0.31096813994844974
15,0.9944839243407566,0.42080935972534517
22,0.9943088685859454,0.4269974826018025
25,0.9945089022244648,0.42854738521988234
30,0.9961423418629346,0.3034366604746167
398,0.994317920299282,0.40890392905708606
45,0.9939971832385495,0.3784305720930361
5,0.9864504011149524,0.43301656782302933
59,0.9943485916504702,0.4054445588141995
72,0.994600505999504,0.43514888927385154
8,0.9946889487387012,0.47652382084752926
80,0.9944451585581885,0.418318739691132
97,0.9946098889286018,0.439111218263217
