omitted_cc,auroc_contrast,ap_contrast,status
CC1,0.16666666666666674,0.11787912577645288,ok
CC22,0.12228260869565222,0.1136643817251074,ok
CC30,0.1594202898550724,0.12065673715758296,ok
CC8,0.18518518518518517,0.09107336443983682,ok
CC93,0.14323607427055707,0.0813237304964659,ok
unknown,0.134920634920635,0.10153251401078389,ok
