design,cc,phage,mae
complete_cc_holdout,80,pyo,0.4322761730395269
complete_cc_holdout,97,p0006,0.08743661565369132
complete_cc_holdout,97,p0017,0.1729292231850782
complete_cc_holdout,97,p0017S,0.038573716180960345
complete_cc_holdout,97,p002y,0.05291550482952669
complete_cc_holdout,97,p003p,0.059871303962448885
complete_cc_holdout,97,p0040,0.1676693398207316
complete_cc_holdout,97,p11,0.13303630978419378
complete_cc_holdout,97,pyo,0.1307168784673365
outcome_stratified_kfold,1,p0006,0.1288073955438727
outcome_stratified_kfold,1,p0017,0.20036482084048293
outcome_stratified_kfold,1,p0017S,0.09390905241464656
outcome_stratified_kfold,1,p002y,0.07418160973799155
outcome_stratified_kfold,1,p003p,0.07461187640411239
outcome_stratified_kfold,1,p0040,0.1571352931057988
outcome_stratified_kfold,1,p11,0.2679057736661286
outcome_stratified_kfold,1,pyo,0.0754639920742383
outcome_stratified_kfold,10,p0006,0.2942298682553959
outcome_stratified_kfold,10,p0017,0.598312316362821
outcome_stratified_kfold,10,p0017S,0.1757535660563238
outcome_stratified_kfold,10,p002y,0.08438532305603469
outcome_stratified_kfold,10,p003p,0.0905993198110193
outcome_stratified_kfold,10,p0040,0.2520120799687312
outcome_stratified_kfold,10,p11,0.22122276740706853
outcome_stratified_kfold,10,pyo,0.13471136917185259
outcome_stratified_kfold,121,p0006,0.1702121826720481
outcome_stratified_kfold,121,p0017,0.30721793229155175
outcome_stratified_kfold,121,p0017S,0.061640368998574994
outcome_stratified_kfold,121,p002y,0.11995151984829416
outcome_stratified_kfold,121,p003p,0.1007458478799419
outcome_stratified_kfold,121,p0040,0.13591284323140287
outcome_stratified_kfold,121,p11,0.1159594865577231
outcome_stratified_kfold,121,pyo,0.14094638172334426
outcome_stratified_kfold,15,p0006,0.09263838525896753
outcome_stratified_kfold,15,p0017,0.24865110225377582
outcome_stratified_kfold,15,p0017S,0.03255347632503926
outcome_stratified_kfold,15,p002y,0.011373439575884853
outcome_stratified_kfold,15,p003p,0.011343591291616814
