omitted_cc,spearman,r2,mae
1,0.2562588455979372,0.3539362651677269,-0.03152244514545002
10,0.26806235436865217,0.3666081108725404,-0.0333118051105637
121,0.2691160927587337,0.3482064476991385,-0.03219480162542518
15,0.2689301416759964,0.3719379346600848,-0.03356532958208877
22,0.2631650953829278,0.36687098312592037,-0.03330159387493753
25,0.26688828888505667,0.375882100238792,-0.03325285711337464
30,0.28489074517662605,0.3494629510571324,-0.03390057665599677
398,0.2615713779541446,0.36572139796325553,-0.032827854351469066
45,0.25400513748666775,0.3708491551951087,-0.033063303314606746
5,0.3718104144417388,0.5593590511861113,-0.048175783565631514
59,0.27242756304542604,0.3863766495654548,-0.03457675835270327
72,0.24562164372907858,0.35320053261517387,-0.0314249951255296
8,0.18539050755495912,0.27318164320179805,-0.023736521568883562
80,0.26380765151900226,0.3680707285384663,-0.033063815118887646
97,0.2709161818067778,0.3764151981268664,-0.03373555652958937
